id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,collectivitefax,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf
63943,0,Orthophoniste au service de prévention et de promotion de la santé,,,26-0737,2026-05-14,Province Sud,orthophoniste,,Rééducation,,,,immédiatement,Province Sud,PVS,,,2026-05-13 13:37:54+11:00,2026-06-04,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/119f8d9ca61edcfd5607942d09031332/download/
63997,0,Cuisinier(ère) à l'internat de La Foa,,,26-0767,2026-05-14,Province Sud,ACDP-Grille rémunération 2-Diplôme niveau V,,,,,2026-10-01 00:00:00+11:00,date,Province Sud,PVS,,,2026-05-15 08:40:55+11:00,2026-06-04,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/f7c6608a9eee6630f8b49f2a9767fce6/download/
63906,0,Agent de gardiennage et de surveillance,,,26-0744,2026-05-11,Province Sud,ACDP-Grille rémunération 1-Sans diplôme,,,,,,immédiatement,Province Sud,PVS,,,2026-05-12 11:50:52+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/5b283b619ecb832600791bd6992f5d12/download/
63634,0,Cargé d'étude,,,26-0644,2026-04-30,Province Sud,rédacteur,,,,,,immédiatement,Province Sud,PVS,,,2026-04-30 07:41:45+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/710218062c75b52926e5a548e3836e37/download/
63838,0,2 Animateurs socio-éducatif,,,26-0718,2026-05-07,,animateur socio-éducatif,,,,,,immédiatement,,,,,2026-05-07 07:40:03+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/5dad2f58b2a1b7df6986cfc578c14452/download/
63283,0,Développeur d'applications full stack,,,26-0526,2026-04-09,Province Sud,ingénieur,,Informatique,,,,immédiatement,Province Sud,PVS,,,2026-04-08 15:33:10+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/e28ca87b7e0aa994a9961cd1b38364db/download/
63608,0,Travailleur social au service de Prévention et promotion de la santé,,,26-0636,2026-04-30,Province Sud,assistant socio-éducatif,,,,,,immédiatement,Province Sud,PVS,,,2026-04-29 09:11:36+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/612836ebdc211d08714f63715345b8c4/download/
63130,0,Adjoint au chef du service des affaires budgétaires et responsable  du bureau de la préparation budgétaire et du patrimoine,,,26-0468,2026-04-02,Province Sud,attaché,,,,,,immédiatement,Province Sud,PVS,,,2026-04-01 13:19:39+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/e4f19df50a525255c0a60c7e043e6134/download/
63613,0,Pyschologue au Service de Prévention et de Promotion de la Santé,,,26-0640,2026-04-30,Province Sud,psychologue,,médico-sociale et travail,,,,immédiatement,Province Sud,PVS,,,2026-04-29 09:28:32+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/4c71bac3214e3625b9ef93e234ce7783/download/
63285,0,Travailleur social en charge des PEAD,,,26-0529,2026-04-09,Province Sud,assistant socio-éducatif,,,,,,immédiatement,Province Sud,PVS,,,2026-04-08 15:35:37+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/5bfddd25caabef17201276861fff2651/download/
60380,0,Médecin à l'UPASS de Bourail,,,25-1598,2025-10-09,Province Sud,médecin de santé publique,,,,,,immédiatement,Province Sud,PVS,,,2025-10-09 09:54:42+11:00,2026-06-11,,Inspecteur,,,,,,,,La date de clôture initialement prévue le 15/05/26 a été reportée,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/976cb05855785b42519f4075c23d665a/download/
60961,0,Médecin à l'UPASS de Bourail,,,25-1768,2025-11-06,Province Sud,médecin de santé publique,,,,,,immédiatement,Province Sud,PVS,,,2025-11-05 13:51:15+11:00,2026-06-11,,Inspecteur,,,,,,,,La date de clôture initialement prévue le 15/05/26 a été reportée,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/eb9f1681b9dc504c0ffdce436ae5e65c/download/
59663,0,Médecin gynécologue à l'UPASS de Nouméa et pour les CMS  de la province Sud,,,25-1320,2025-08-28,Province Sud,médecin de santé publique,,,,,,immédiatement,Province Sud,PVS,,,2025-08-28 14:19:06+11:00,2026-06-11,,Inspecteur,,,,,,,,La date de clôture initialement prévue le 15/05/26 a été reportée,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/6890a8bcdad217ff601475e6d73bd356/download/
63665,0,7 Surveillants animateurs périscolaires,,,26-0670,2026-04-30,,ACDP-Grille rémunération 1-Sans diplôme,,,,,2026-07-01 00:00:00+11:00,date,,,,,2026-04-30 10:18:46+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/3fc2efc35c04ad4a99db92c70be2f968/download/
63600,0,Chargé de missions,,,26-0626,2026-04-30,,adjoint administratif,,,,,,immédiatement,,,,,2026-04-29 08:50:48+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/a4c2d440a70d3da222548e322d1ae05f/download/
63605,0,Garde champêtre,,,26-0632,2026-04-30,,ACDP-Grille rémunération 2-Diplôme niveau V,,,,,,immédiatement,,,,,2026-04-29 09:06:32+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/a3640b3ede9e8109f922406d6be1673c/download/
63597,0,Maitre-nageur Sauveteur,,,26-0622,2026-04-30,,éducateur des APS,,,,,,immédiatement,,,,,2026-04-29 08:32:15+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/96f4822c8226fcabaa99d93e1318f190/download/
63851,0,2 Conseillers en ressources humaines,,,26-0724,2026-05-07,,attaché,,,,,,immédiatement,,,,,2026-05-07 08:18:50+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/7453530c45c18945b5e6fe52474a6ee4/download/
63663,0,Agent polyvalent,,,26-0652,2026-04-30,,ACDP-Grille rémunération 1-Sans diplôme,,,,,2026-07-01 00:00:00+11:00,date,,,,,2026-04-30 08:55:40+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/fe4979200b37ecb181eb903b7bf77603/download/
62296,0,3 INFIRMIERS EN SOINS GENERAUX ITINERANT,,,26-0220,2026-02-05,Province Nord,infirmier en soins généraux,,Infirmiers,,,,immédiatement,,,,,2026-02-06 09:36:24+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/15059060effd7a10d7ac2dd980b01aed/download/
63649,0,Responsable de pôle Assistance aux utilisateurs,,,26-0668,2026-04-30,Université de Nouvelle-Calédonie,ingénieur,,Informatique,,,,immédiatement,Université de Nouvelle-Calédonie,UNC,,,2026-04-30 08:21:36+11:00,2026-05-23,,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/bb537864fed6b352e6558a6e0886211a/download/
